Random paths â€“ not necessarily from all unsuccessful hosts:,,,,
Hidden Service URI,Recorded State by Scraper,Manually recorded state,Result of popular Port Scan,Content
torrentzwealmisr.onion/0089103bc99b0c2bc24ddb22395eefaf44213efd,Offline,Online,,Torrent/Sharing
facj5l7pgk6ekxgw.onion/,Offline,Offline,,
auutwvpaxl4dtym4.onion/vote.php?id=451&p=18#vote-list,Offline,Online,,
un62d2ywi33bho53.onion/premium-ccs/#comment-119409,Offline,Online,,
ctgpe47oofn4ov5v.onion/logs/70,Offline,Online,,
haibanej33s4gfts.onion/b/3237#p3860,Offline,Online,,
anonshrr2pucdpxo.onion/imageboards/ytb/src/1529340559019-8.jpg,Offline,Online,,
pugljpwjhbiagkrn.onion/testing/postfix-gld/index.html,Offline,Online,,
nzh3fv6jc6jskki3.onion/zh/security/device-security,Offline,Online,,
dwmjk4z7inup76jg.onion/reestr/143300,Offline,Online,,
center4u6cm5cm4w.onion/threads/%D0%A4%D0%98%D0%9D%D0%90%D0%9D%D0%A1%D0%9E%D0%92%D0%AB%D0%95-%D0%9D%D0%9E%D0%92%D0%9E%D0%A1%D0%A2%D0%98-%D0%9E%D0%A2-ss-atm-service.31655/page-51,Offline,Online,,
3r3rbc6ver6h3wgc.onion/,Offline,Offline,,
psycnets7z6tvqpa.onion/user/Rayleigh777,Offline,Online,,
victoryhrjhnrp3j.onion/,Offline,Offline,,
galaxyaonv32reim.onion//cache/vanilliconproxy/71f27a9a4a76ad720549d31878370b32.svg,Offline,404,,
cosplaorgsfg3got.onion/imageboards/wisc/res/56.html#q56,Offline,Forwarded but online,,
thundersplv36ecb.onion/penis-enlargement/6-month-of-pe-the-bottom-line.html&new=1,Offline,404,,
auutwvpmfqfsmcen.onion/vote.php?id=593,Offline,Online,,
auutwvpklvdzuxpx.onion/vote.php?id=155&p=15#vote-list,Offline,Online,,
auutwvprh6odm2qt.onion/vote.php?id=155&p=56#vote-list,Offline,Online,,
4pxdzxuypcnarebr.onion/,Offline,Offline,,
rvvbltbkvc4sd4nh.onion/commercials/stantt-find-your-fit-2014-245-usa/#comments,Offline,"Insecure connection, forward, but online",,
auutwvpadmjqonmp.onion/vote.php?id=210&amp;p=22#vote-list,Offline,Online,,
byzrtozlvlt3u45v.onion/,Offline,Offline,,
f7lqb5oicvsahone.onion/computer/buildbot.pixelminers.net/load-statistics,Offline,Online,,
5h5ps743nnqsjq4l.onion/download/52/epub/52.EPUB,Offline,Offline (timeout),,
gi7h4ckfb4yokxj4.onion/selk,Offline,Online,,
binario5yvaed5ie.onion/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fbinario5yvaed5ie.onion%3A80%2F2016%2F03%2F25%2Fprograma-no6-27marzo2016%2F&#038;format=xml,Offline,401/Online,,
forohpysho2t5mjs.onion/discussions/tagged/hackplayers#top,Offline,Online,,
,,,,
Random paths from all unsuccessful hosts:,,,,
